Customer_ID,Age,Annual_Income,Spending_Score,Purchases,Cluster
1,21,53186,62,1,3
2,51,101761,78,2,0
3,46,16041,74,7,3
4,36,109097,14,27,2
5,36,71997,83,14,0
6,54,29726,54,22,1
7,21,46729,33,13,1
8,47,73174,52,6,0
9,26,48147,97,12,3
10,22,26400,86,3,3
11,40,84929,84,24,4
12,59,85585,47,6,0
13,49,27481,79,12,3
14,50,44529,39,30,1
15,48,40606,69,18,3
16,51,84240,64,14,0
17,40,91681,25,17,2
18,23,91335,27,24,1
19,54,113570,7,8,2
20,37,95708,14,20,2
21,39,48671,44,27,1
22,33,26312,48,18,3
23,25,79538,17,14,2
24,57,111182,42,5,2
25,51,117392,61,8,0
26,45,39172,24,29,1
27,35,39828,34,17,1
28,53,18928,37,10,3
29,41,29832,51,13,3
30,37,73260,37,18,1
31,37,72414,74,17,4
32,27,53947,33,21,1
33,21,47545,44,8,3
34,41,102128,38,20,2
35,56,63304,19,14,1
36,20,99867,69,29,4
37,54,116138,24,5,2
38,53,48299,30,5,3
39,29,36287,80,14,3
40,45,115055,95,16,0
41,25,81657,68,21,4
42,50,45546,92,13,3
43,48,80295,86,28,4
44,33,69081,49,15,3
45,20,110081,78,4,0
46,59,41876,33,4,3
47,37,119096,47,30,4
48,56,113285,54,5,0
49,47,33973,97,29,4
50,51,32283,85,9,3
51,50,70982,49,3,0
52,26,19715,66,10,3
53,33,46374,21,19,1
54,38,60685,81,13,3
55,39,116785,56,24,4
56,19,119200,54,19,0
57,41,30911,77,13,3
58,24,108627,64,20,4
59,49,24547,8,30,1
60,47,93604,29,13,2
61,57,103793,18,5,2
62,50,108534,74,13,0
63,33,38459,4,26,1
64,59,108812,21,7,2
65,35,27178,60,29,4
66,32,69480,70,18,4
67,56,64302,51,19,4
68,33,48172,87,10,3
69,21,17322,92,28,4
70,38,96062,14,2,2
71,52,50236,96,9,3
72,26,84475,62,13,0
73,37,58073,64,15,3
74,23,54234,10,15,1
75,47,108061,63,5,0
76,38,24919,73,7,3
77,32,92345,59,3,0
78,27,93413,9,18,2
79,42,54899,53,11,3
80,46,42558,94,17,3
81,58,15557,73,18,3
82,36,113366,14,22,2
83,24,114512,96,17,0
84,53,40302,96,20,4
85,45,18350,17,18,1
86,48,27889,81,20,3
87,22,22102,41,19,1
88,31,102267,60,10,0
89,51,108651,45,8,2
90,53,31095,79,24,4
